Date,Open,High,Low,Close,Shares Traded(Cr),Turnover (Rs Cr),Price/Earnings,Price/Bookvalue,Dividend Yield
14-May-1996,3747.19,3814.12,3726.98,3810.13,-,-,19.74,3.67,1.24,
15-May-1996,3793.14,3796.29,3728.86,3796.29,-,-,19.67,3.66,1.24,
16-May-1996,3816.03,3879.55,3816.03,3823.11,-,-,19.81,3.69,1.24,
17-May-1996,3819.09,3819.09,3783.63,3795.96,-,-,19.67,3.66,1.24,
20-May-1996,3788.17,3788.17,3691.75,3694.29,-,-,19.14,3.56,1.28,
21-May-1996,3677.01,3690.07,3659.23,3671.95,-,-,19.02,3.54,1.29,
22-May-1996,3674.38,3704.25,3669.81,3685.85,-,-,19.10,3.55,1.28,
23-May-1996,3679.89,3688.47,3667.73,3683.99,-,-,19.09,3.55,1.28,
24-May-1996,3686.66,3727.58,3686.66,3709.25,-,-,19.22,3.58,1.27,
27-May-1996,3704.96,3704.96,3649.28,3653.10,-,-,18.93,3.52,1.29,
28-May-1996,3650.31,3650.31,3578.29,3636.01,-,-,18.79,3.51,1.31,
29-May-1996,3635.56,3742.86,3635.56,3740.45,-,-,19.33,3.61,1.27,
30-May-1996,3745.95,3767.86,3694.20,3700.62,-,-,19.12,3.57,1.29,
31-May-1996,3709.70,3733.44,3701.39,3724.97,-,-,19.25,3.59,1.28,
3-June-1996,3731.96,3803.03,3731.96,3799.01,-,-,19.63,3.66,1.25,
4-June-1996,3804.43,3841.79,3785.88,3793.46,-,-,19.60,3.66,1.25,
5-June-1996,3791.23,3814.58,3760.44,3813.05,-,-,19.71,3.68,1.25,
6-June-1996,3826.89,3860.91,3826.89,3830.31,-,-,19.79,3.69,1.24,
7-June-1996,3826.46,3869.57,3824.06,3866.21,-,-,19.98,3.73,1.23,
10-June-1996,3864.12,3909.04,3864.12,3889.34,-,-,20.18,3.75,1.22,
11-June-1996,3883.31,3914.81,3870.45,3914.28,-,-,20.31,3.77,1.22,
12-June-1996,3915.33,3972.38,3915.33,3939.20,-,-,20.44,3.80,1.21,
13-June-1996,3939.22,3978.90,3936.80,3965.44,-,-,20.58,3.82,1.20,
14-June-1996,3968.48,4052.90,3968.48,4049.39,-,-,21.01,3.90,1.18,
17-June-1996,4053.59,4131.22,4053.59,4067.29,-,-,21.11,3.92,1.17,
18-June-1996,4067.29,4077.60,4026.84,4069.26,-,-,21.12,3.92,1.17,
19-June-1996,4067.78,4067.78,3977.89,3980.04,-,-,20.65,3.84,1.20,
20-June-1996,3979.88,4002.66,3933.96,3995.20,-,-,20.50,3.81,1.22,
21-June-1996,3993.69,3993.69,3923.90,3924.95,-,-,20.14,3.74,1.24,
24-June-1996,3935.66,3945.25,3888.94,3928.58,-,-,20.16,3.74,1.24,
25-June-1996,3924.38,3931.24,3841.19,3855.06,-,-,19.78,3.67,1.26,
26-June-1996,3845.09,3854.66,3784.55,3792.75,-,-,19.46,3.61,1.29,
27-June-1996,3781.15,3852.77,3762.50,3849.11,-,-,19.75,3.67,1.27,
28-June-1996,3852.05,3862.25,3798.21,3812.52,-,-,19.56,3.63,1.28,
1-July-1996,3798.87,3802.76,3748.08,3754.38,-,-,19.27,3.58,1.30,
2-July-1996,3758.39,3779.71,3740.06,3747.47,-,-,19.23,3.57,1.30,
3-July-1996,3739.26,3742.69,3652.22,3656.03,-,-,18.76,3.48,1.33,
4-July-1996,3664.69,3730.10,3611.96,3701.74,-,-,19.00,3.53,1.32,
5-July-1996,3708.32,3742.43,3683.47,3707.01,-,-,19.02,3.53,1.32,
8-July-1996,3714.76,3751.17,3714.76,3730.72,-,-,19.15,3.56,1.31,
9-July-1996,3728.62,3728.62,3648.09,3651.01,-,-,18.74,3.48,1.34,
10-July-1996,3637.15,3686.78,3624.33,3671.66,-,-,18.84,3.50,1.33,
11-July-1996,3680.56,3715.96,3680.56,3700.69,-,-,18.84,3.47,1.32,
12-July-1996,3701.57,3701.57,3645.80,3651.56,-,-,18.59,3.42,1.34,
15-July-1996,3659.36,3717.83,3653.84,3712.37,-,-,18.90,3.48,1.32,
16-July-1996,3728.92,3746.58,3631.47,3644.93,-,-,18.55,3.41,1.35,
17-July-1996,3652.52,3744.14,3652.52,3722.24,-,-,18.95,3.49,1.32,
18-July-1996,3725.73,3787.74,3725.73,3775.99,-,-,19.22,3.54,1.30,
19-July-1996,3786.70,3795.44,3756.36,3763.09,-,-,19.15,3.52,1.30,
22-July-1996,3801.68,3820.95,3748.77,3807.60,-,-,19.38,3.57,1.29,
23-July-1996,3807.53,3810.07,3641.80,3663.08,-,-,18.64,3.43,1.34,
24-July-1996,3648.59,3666.87,3517.95,3582.06,-,-,18.23,3.36,1.37,
25-July-1996,3590.29,3610.00,3548.38,3559.28,-,-,18.12,3.33,1.38,
26-July-1996,3552.64,3569.50,3522.14,3560.00,-,-,18.12,3.33,1.38,
29-July-1996,3555.09,3589.64,3489.17,3491.01,-,-,16.98,3.16,1.49,
30-July-1996,3490.11,3490.11,3387.39,3448.33,-,-,16.77,3.12,1.51,
31-July-1996,3464.62,3538.30,3424.64,3536.94,-,-,16.86,3.15,1.47,
1-August-1996,3539.97,3585.15,3534.42,3538.60,-,-,16.87,3.15,1.47,
2-August-1996,3537.26,3537.26,3484.93,3511.63,-,-,16.74,3.13,1.48,
5-August-1996,3503.83,3513.64,3480.74,3482.68,-,-,16.60,3.10,1.50,
6-August-1996,3481.79,3484.58,3453.99,3481.29,-,-,15.82,3.01,1.54,
7-August-1996,3489.14,3547.32,3486.52,3543.44,-,-,16.10,3.06,1.51,
8-August-1996,3549.66,3557.02,3507.69,3509.18,-,-,15.94,3.03,1.53,
9-August-1996,3506.15,3508.01,3487.34,3497.73,-,-,15.11,2.86,1.63,
12-August-1996,3500.18,3500.18,3458.69,3458.98,-,-,14.94,2.83,1.65,
13-August-1996,3459.70,3459.70,3437.06,3447.96,-,-,14.90,2.82,1.65,
14-August-1996,3448.35,3462.80,3423.40,3424.63,-,-,14.80,2.80,1.67,
16-August-1996,3427.07,3433.21,3379.43,3382.75,-,-,14.62,2.77,1.69,
19-August-1996,3367.82,3367.82,3278.79,3281.49,-,-,13.39,2.59,1.65,
20-August-1996,3281.36,3317.93,3276.15,3316.06,-,-,13.53,2.62,1.64,
21-August-1996,3318.86,3408.10,3318.86,3406.22,-,-,13.90,2.69,1.59,
22-August-1996,3407.95,3424.73,3384.83,3388.80,-,-,13.83,2.68,1.60,
23-August-1996,3390.00,3449.84,3385.91,3431.40,-,-,14.00,2.71,1.58,
26-August-1996,3433.26,3460.59,3422.69,3433.55,-,-,14.01,2.71,1.58,
27-August-1996,3435.13,3439.59,3412.90,3438.80,-,-,14.03,2.72,1.58,
29-August-1996,3443.10,3528.19,3443.10,3493.61,-,-,14.26,2.76,1.55,
30-August-1996,3493.28,3515.64,3489.75,3514.61,-,-,14.34,2.78,1.54,
2-September-1996,3519.42,3564.46,3519.42,3562.98,-,-,14.54,2.82,1.52,
3-September-1996,3544.03,3586.89,3470.58,3484.68,-,-,14.22,2.75,1.56,
4-September-1996,3483.07,3518.41,3456.42,3516.90,-,-,14.35,2.78,1.54,
6-September-1996,3526.38,3543.21,3507.74,3508.07,-,-,14.32,2.77,1.55,
9-September-1996,3508.71,3511.42,3454.45,3468.29,-,-,14.15,2.74,1.56,
10-September-1996,3461.71,3461.71,3411.78,3434.83,-,-,14.02,2.71,1.58,
11-September-1996,3440.48,3448.58,3380.32,3382.71,-,-,13.80,2.67,1.60,
12-September-1996,3377.87,3393.63,3348.75,3391.54,-,-,13.84,2.68,1.60,
13-September-1996,3390.66,3392.00,3341.64,3347.37,-,-,13.66,2.65,1.62,
18-September-1996,3344.73,3421.20,3323.80,3414.01,-,-,13.93,2.70,1.59,
19-September-1996,3404.93,3430.83,3345.19,3349.77,-,-,13.67,2.65,1.62,
20-September-1996,3349.30,3366.41,3339.94,3346.78,-,-,13.66,2.65,1.62,
23-September-1996,3340.75,3348.35,3307.20,3331.09,-,-,13.59,2.63,1.63,
24-September-1996,3332.17,3348.32,3332.17,3337.73,-,-,13.62,2.64,1.62,
25-September-1996,3350.70,3373.51,3340.90,3343.92,-,-,13.65,2.64,1.62,
26-September-1996,3341.09,3341.09,3293.71,3307.05,-,-,13.49,2.61,1.64,
27-September-1996,3301.86,3301.86,3251.29,3254.73,-,-,13.28,2.57,1.67,
30-September-1996,3255.37,3268.61,3205.23,3239.48,-,-,13.19,2.56,1.68,
1-October-1996,3249.15,3249.58,3220.05,3226.80,-,-,13.14,2.55,1.69,
3-October-1996,3229.79,3254.57,3190.36,3195.77,-,-,13.01,2.52,1.70,
4-October-1996,3198.20,3208.74,3095.14,3101.27,-,-,12.63,2.45,1.75,
7-October-1996,3105.31,3111.31,2939.87,3002.86,-,-,12.23,2.37,1.81,
8-October-1996,3000.40,3038.52,2930.93,3027.35,-,-,12.33,2.39,1.80,
9-October-1996,3038.02,3045.68,2991.32,3037.63,-,-,12.37,2.40,1.79,
10-October-1996,3037.13,3129.69,3037.13,3126.34,-,-,12.73,2.47,1.74,
11-October-1996,3127.75,3176.97,3121.95,3160.52,-,-,12.71,2.48,1.73,
14-October-1996,3166.01,3166.01,3098.00,3099.34,-,-,12.46,2.43,1.77,
15-October-1996,3098.36,3133.54,3079.46,3118.95,-,-,12.54,2.45,1.76,
16-October-1996,3120.77,3147.43,3101.82,3104.66,-,-,12.48,2.44,1.77,
17-October-1996,3100.88,3112.58,3068.56,3112.02,-,-,12.51,2.44,1.76,
18-October-1996,3108.86,3130.90,3091.37,3130.21,-,-,12.58,2.46,1.75,
22-October-1996,3152.58,3235.26,3152.58,3227.13,-,-,12.97,2.53,1.70,
23-October-1996,3233.71,3344.35,3233.71,3341.86,-,-,13.44,2.62,1.64,
24-October-1996,3343.06,3344.67,3241.15,3250.94,-,-,13.07,2.55,1.69,
25-October-1996,3252.26,3286.71,3230.28,3250.66,-,-,13.07,2.55,1.69,
28-October-1996,3256.26,3314.05,3256.26,3264.52,-,-,12.90,2.53,1.69,
29-October-1996,3260.43,3261.25,3222.65,3239.94,-,-,12.80,2.52,1.70,
30-October-1996,3240.91,3243.00,3163.40,3172.98,-,-,12.54,2.46,1.74,
31-October-1996,3171.45,3171.45,3122.76,3163.78,-,-,12.50,2.46,1.74,
1-November-1996,3164.03,3190.82,3131.82,3148.57,-,-,12.44,2.44,1.75,
4-November-1996,3143.89,3143.89,3080.28,3092.72,-,-,12.22,2.40,1.78,
5-November-1996,3092.00,3104.03,3062.50,3062.84,-,-,12.10,2.38,1.80,
6-November-1996,3059.61,3059.61,2999.79,3044.16,-,-,12.03,2.36,1.81,
7-November-1996,3055.07,3073.61,3046.27,3066.66,-,-,12.12,2.38,1.80,
10-November-1996,3092.08,3099.63,3077.49,3080.26,-,-,12.17,2.39,1.79,
13-November-1996,3088.19,3135.69,3088.19,3126.06,-,-,12.35,2.43,1.77,
14-November-1996,3131.01,3134.14,3102.72,3110.23,-,-,12.29,2.41,1.77,
15-November-1996,3108.71,3142.31,3102.20,3139.02,-,-,12.41,2.44,1.76,
18-November-1996,3140.63,3175.15,3140.63,3171.59,-,-,12.53,2.46,1.74,
19-November-1996,3172.30,3176.69,3131.82,3139.33,-,-,12.41,2.44,1.76,
20-November-1996,3137.87,3137.87,3060.93,3062.50,-,-,12.02,2.35,1.83,
21-November-1996,3063.19,3076.23,3029.94,3043.30,-,-,11.94,2.33,1.84,
22-November-1996,3039.80,3039.80,2959.30,2965.66,-,-,11.64,2.27,1.89,
25-November-1996,2960.52,3004.83,2856.21,2994.98,-,-,11.75,2.29,1.87,
26-November-1996,2996.35,3035.64,2948.03,2948.44,-,-,11.57,2.26,1.90,
27-November-1996,2944.57,2944.57,2847.48,2883.57,-,-,11.31,2.21,1.94,
28-November-1996,2885.20,2910.00,2865.13,2871.02,-,-,11.27,2.20,1.95,
29-November-1996,2877.33,2906.38,2877.33,2890.50,-,-,11.34,2.21,1.94,
2-December-1996,2883.88,2906.15,2847.07,2851.43,-,-,11.19,2.18,1.97,
3-December-1996,2850.85,2850.85,2795.41,2798.00,-,-,10.98,2.14,2.00,
4-December-1996,2796.03,2796.03,2713.12,2745.06,-,-,10.77,2.10,2.04,
5-December-1996,2749.36,2822.50,2735.67,2812.22,-,-,11.03,2.15,1.99,
6-December-1996,2812.47,2841.80,2808.65,2826.20,-,-,11.09,2.17,1.98,
9-December-1996,2821.25,2846.31,2802.82,2815.06,-,-,11.05,2.16,1.99,
10-December-1996,2814.21,2814.21,2782.03,2798.57,-,-,11.07,2.16,1.99,
