Date,Open,High,Low,Close,Shares Traded(Cr),Turnover (Rs Cr),Price/Earnings,Price/Bookvalue,Dividend Yield
11-December-1996,2802.52,2943.71,2802.52,2941.36,-,-,11.63,2.27,1.89,
12-December-1996,2940.00,2965.10,2878.20,2880.26,-,-,11.39,2.22,1.93,
13-December-1996,2879.98,2893.70,2850.06,2881.15,-,-,11.40,2.23,1.93,
16-December-1996,2900.25,2966.99,2900.25,2958.65,-,-,11.70,2.28,1.88,
17-December-1996,2964.01,2985.34,2943.22,2984.02,-,-,11.80,2.30,1.86,
18-December-1996,2986.02,3051.72,2986.02,3001.24,-,-,11.87,2.32,1.85,
19-December-1996,3000.87,3039.62,2987.06,3035.91,-,-,12.01,2.34,1.83,
20-December-1996,3037.70,3111.85,3037.70,3110.19,-,-,12.30,2.40,1.79,
23-December-1996,3111.00,3127.19,3076.00,3093.04,-,-,12.23,2.39,1.80,
24-December-1996,3091.69,3091.69,3063.59,3085.20,-,-,12.20,2.38,1.80,
1-January-1997,3096.65,3270.04,3096.65,3260.56,-,-,12.90,2.52,1.71,
2-January-1997,3261.94,3275.36,3219.16,3225.24,-,-,12.76,2.49,1.73,
3-January-1997,3215.46,3264.00,3204.88,3264.00,-,-,12.91,2.52,1.70,
6-January-1997,3267.75,3287.47,3238.08,3252.31,-,-,12.86,2.51,1.71,
7-January-1997,3250.51,3273.43,3222.19,3264.12,-,-,12.91,2.52,1.70,
8-January-1997,3268.92,3319.57,3268.92,3288.88,-,-,13.01,2.54,1.69,
9-January-1997,3287.07,3362.80,3286.75,3362.39,-,-,13.30,2.60,1.65,
10-January-1997,3366.53,3443.56,3366.53,3418.32,-,-,13.52,2.64,1.63,
13-January-1997,3416.09,3456.63,3388.80,3453.16,-,-,13.66,2.67,1.61,
14-January-1997,3454.04,3499.82,3422.99,3492.26,-,-,13.81,2.70,1.59,
15-January-1997,3488.92,3673.91,3487.27,3646.73,-,-,14.42,2.82,1.53,
16-January-1997,3654.96,3812.31,3453.61,3455.88,-,-,13.67,2.67,1.61,
17-January-1997,3451.22,3480.98,3342.89,3422.35,-,-,13.54,2.64,1.63,
20-January-1997,3439.63,3478.00,3375.68,3389.49,-,-,13.41,2.62,1.64,
21-January-1997,3387.40,3429.37,3349.23,3382.74,-,-,13.38,2.61,1.64,
22-January-1997,3404.94,3464.58,3385.28,3427.09,-,-,13.56,2.65,1.62,
24-January-1997,3429.13,3448.76,3412.97,3435.62,-,-,13.59,2.65,1.62,
27-January-1997,3436.98,3578.26,3436.98,3562.74,-,-,14.09,2.75,1.56,
28-January-1997,3566.11,3607.21,3543.12,3604.20,-,-,14.11,2.77,1.56,
